file_path,duration_h,n_channels,sfreq,step,elapsed_s,working_set_mb,private_mb,cpu_percent,smoothness_score,visible_window_s,filter_mode,reference_mode,notes
,,,,start,,,,,,,,,MainWindow initialized
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.670470,,,,,3.000000,off,monopolar,visible_channels=32; plotted_points=1536
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.979394,,,,,3.000000,off,monopolar,visible_channels=32; plotted_points=1536
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,2.950162,,,,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_scroll_jump,3.069396,,,,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_open,9.219435,,,,,10.000000,macro=Off | Off | NOff; micro=Off | Off | NOff,monopolar,
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,2.280585,,,,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,1.103506,,,,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,1.121753,,,,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,2.058742,,,,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.894953,,,,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.880603,,,,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.840557,,,,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.972488,,,,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,1.032362,,,,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,2.045063,,,,,10.000000,active,monopolar,visible_channels=32; plotted_points=2560
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.946747,,,,,10.000000,active,monopolar,visible_channels=32; plotted_points=2560
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_filter_render,3.056319,,,,,10.000000,macro=HP 70 | LP 140 | NOff; micro=HP 70 | LP 140 | NOff,monopolar,
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_long_window,0.923980,,,,,50.000000,active,monopolar,visible_channels=32; plotted_points=2846
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_scroll_jump,1.888078,,,,,50.000000,active,monopolar,visible_channels=32; plotted_points=2846
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_long_window,0.924913,,,,,50.000000,active,monopolar,visible_channels=32; plotted_points=2846
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_long_window,0.983100,,,,,50.000000,active,monopolar,visible_channels=32; plotted_points=2846
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_filter_render,1.945709,,,,,50.000000,macro=HP 70 | LP 140 | NOff; micro=HP 70 | LP 140 | NOff,monopolar,
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_long_window,0.992902,,,,,50.000000,active,monopolar,visible_channels=32; plotted_points=2846
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_long_window,0.923564,,,,,50.000000,active,monopolar,visible_channels=32; plotted_points=2846
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_filter_render,1.955345,,,,,50.000000,macro=HP 70 | LP 140 | NOff; micro=HP 70 | LP 140 | NOff,monopolar,
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_scroll_jump,0.885718,,,,,50.000000,active,monopolar,visible_channels=32; plotted_points=2846
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_scroll_jump,0.970537,,,,,50.000000,active,monopolar,visible_channels=32; plotted_points=2846
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_scroll_jump,1.024417,,,,,50.000000,active,monopolar,visible_channels=32; plotted_points=2846
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_scroll_jump,0.976986,,,,,50.000000,active,monopolar,visible_channels=32; plotted_points=2846
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_scroll_jump,0.903447,,,,,50.000000,active,monopolar,visible_channels=32; plotted_points=2846
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_scroll_jump,0.945110,,,,,50.000000,active,monopolar,visible_channels=32; plotted_points=2846
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_long_window,0.986794,,,,,100.000000,active,monopolar,visible_channels=32; plotted_points=2926
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_scroll_jump,1.005953,,,,,100.000000,active,monopolar,visible_channels=32; plotted_points=2926
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_scroll_jump,1.002497,,,,,100.000000,active,monopolar,visible_channels=32; plotted_points=2926
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_scroll_jump,1.060963,,,,,100.000000,active,monopolar,visible_channels=32; plotted_points=2926
