file_path,duration_h,n_channels,sfreq,step,elapsed_s,working_set_mb,private_mb,cpu_percent,smoothness_score,visible_window_s,filter_mode,reference_mode,notes
,,,,start,,234.121,1156.418,81.850,,,,,MainWindow initialized
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_short_window,0.101311,318.680,1195.383,9.260,,3.000000,off,monopolar,visible_channels=32; plotted_points=1500; read_window_s=0.0052; downsample_s=0.0001; plot_s=0.0953
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_short_window,0.093423,319.367,1195.984,99.466,,3.000000,off,monopolar,visible_channels=32; plotted_points=1500; read_window_s=0.0022; downsample_s=0.0000; plot_s=0.0909
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_short_window,0.106055,319.215,1197.062,80.501,,10.000000,off,monopolar,visible_channels=32; plotted_points=2500; read_window_s=0.0033; downsample_s=0.0086; plot_s=0.0926
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_scroll_jump,0.102126,320.789,1197.180,105.678,,10.000000,off,monopolar,visible_channels=32; plotted_points=2500; read_window_s=0.0047; downsample_s=0.0052; plot_s=0.0912
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_open,0.562024,320.793,1197.180,0.000,,10.000000,macro=Off | Off | NOff; micro=Off | Off | NOff,monopolar,
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_short_window,0.101207,321.480,1197.793,106.908,,10.000000,off,monopolar,visible_channels=32; plotted_points=2500; read_window_s=0.0037; downsample_s=0.0038; plot_s=0.0930
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_short_window,0.101849,322.031,1198.406,91.427,,10.000000,off,monopolar,visible_channels=32; plotted_points=2500; read_window_s=0.0032; downsample_s=0.0039; plot_s=0.0940
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_short_window,0.099303,322.105,1198.406,108.455,,10.000000,off,monopolar,visible_channels=32; plotted_points=2500; read_window_s=0.0029; downsample_s=0.0036; plot_s=0.0920
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_short_window,0.100992,322.125,1198.406,106.948,,10.000000,off,monopolar,visible_channels=32; plotted_points=2500; read_window_s=0.0031; downsample_s=0.0037; plot_s=0.0934
