file_path,duration_h,n_channels,sfreq,step,elapsed_s,working_set_mb,private_mb,cpu_percent,smoothness_score,visible_window_s,filter_mode,reference_mode,notes
,,,,start,,238.473,1156.219,47.671,,,,,MainWindow initialized
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_short_window,0.115633,323.398,1192.605,16.397,,3.000000,off,monopolar,visible_channels=32; plotted_points=1500; read_window_s=0.0029; downsample_s=0.0000; plot_s=0.1122
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_short_window,0.103162,324.152,1193.207,89.764,,3.000000,off,monopolar,visible_channels=32; plotted_points=1500; read_window_s=0.0029; downsample_s=0.0000; plot_s=0.1000
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_short_window,0.111507,326.973,1195.703,109.463,,10.000000,off,monopolar,visible_channels=32; plotted_points=2500; read_window_s=0.0039; downsample_s=0.0049; plot_s=0.1019
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_scroll_jump,0.111384,327.008,1195.703,96.899,,10.000000,off,monopolar,visible_channels=32; plotted_points=2500; read_window_s=0.0031; downsample_s=0.0042; plot_s=0.1033
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_open,0.564213,327.020,1195.703,0.000,,10.000000,macro=Off | Off | NOff; micro=Off | Off | NOff,monopolar,
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_short_window,0.118592,327.043,1195.703,103.836,,10.000000,off,monopolar,visible_channels=32; plotted_points=2500; read_window_s=0.0054; downsample_s=0.0056; plot_s=0.1063
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_short_window,0.112231,327.055,1195.703,96.750,,10.000000,off,monopolar,visible_channels=32; plotted_points=2500; read_window_s=0.0051; downsample_s=0.0040; plot_s=0.1022
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_short_window,0.105468,327.070,1195.703,87.567,,10.000000,off,monopolar,visible_channels=32; plotted_points=2500; read_window_s=0.0031; downsample_s=0.0038; plot_s=0.0977
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_short_window,0.110184,327.102,1195.703,97.372,,10.000000,off,monopolar,visible_channels=32; plotted_points=2500; read_window_s=0.0034; downsample_s=0.0041; plot_s=0.1016
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_short_window,0.107506,327.113,1195.703,100.949,,10.000000,off,monopolar,visible_channels=32; plotted_points=2500; read_window_s=0.0032; downsample_s=0.0039; plot_s=0.0995
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_short_window,0.114189,327.117,1195.703,95.059,,10.000000,off,monopolar,visible_channels=32; plotted_points=2500; read_window_s=0.0034; downsample_s=0.0038; plot_s=0.1062
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.153036,327.836,1196.422,99.847,,100.000000,off,monopolar,visible_channels=32; plotted_points=2942; read_window_s=0.0183; downsample_s=0.0282; plot_s=0.0988
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.171217,328.660,1197.211,107.554,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0198; downsample_s=0.0331; plot_s=0.1106
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.166665,328.668,1197.211,83.863,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0193; downsample_s=0.0321; plot_s=0.1082
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.166730,328.680,1197.211,101.719,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0175; downsample_s=0.0332; plot_s=0.1084
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.177729,328.691,1197.211,104.546,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0195; downsample_s=0.0323; plot_s=0.1181
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.183274,328.703,1197.211,93.287,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0212; downsample_s=0.0334; plot_s=0.1210
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.189343,328.703,1197.211,106.349,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0194; downsample_s=0.0356; plot_s=0.1264
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.222047,328.637,1197.211,98.086,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0183; downsample_s=0.0356; plot_s=0.1616
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.195405,328.641,1197.211,103.409,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0192; downsample_s=0.0317; plot_s=0.1364
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.180881,328.676,1197.211,77.033,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0175; downsample_s=0.0307; plot_s=0.1269
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.165682,328.695,1197.211,102.288,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0191; downsample_s=0.0287; plot_s=0.1121
