file_path,duration_h,n_channels,sfreq,step,elapsed_s,working_set_mb,private_mb,cpu_percent,smoothness_score,visible_window_s,filter_mode,reference_mode,notes
,,,,start,,235.926,1157.000,82.429,,,,,MainWindow initialized
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.118351,208.734,1208.551,2.879,,3.000000,off,monopolar,visible_channels=32; plotted_points=1536; read_window_s=0.0227; downsample_s=0.0002; plot_s=0.0946
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.105720,209.652,1209.348,102.138,,3.000000,off,monopolar,visible_channels=32; plotted_points=1536; read_window_s=0.0151; downsample_s=0.0000; plot_s=0.0902
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.135431,197.824,1197.188,102.363,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.0276; downsample_s=0.0049; plot_s=0.1002
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_scroll_jump,0.115315,199.656,1199.992,101.353,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.0182; downsample_s=0.0044; plot_s=0.0905
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_open,1.339021,198.602,1198.484,32.953,,10.000000,macro=Off | Off | NOff; micro=Off | Off | NOff,monopolar,
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.120283,200.223,1199.113,102.928,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.0182; downsample_s=0.0048; plot_s=0.0940
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.130547,200.273,1199.113,83.266,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.0188; downsample_s=0.0044; plot_s=0.1055
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.114328,200.566,1199.113,102.191,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.0171; downsample_s=0.0036; plot_s=0.0918
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.115235,200.641,1199.113,81.373,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.0131; downsample_s=0.0039; plot_s=0.0967
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.113915,200.660,1199.113,109.010,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.0137; downsample_s=0.0045; plot_s=0.0945
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.117272,200.660,1199.113,92.622,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.0169; downsample_s=0.0047; plot_s=0.0944
