file_path,duration_h,n_channels,sfreq,step,elapsed_s,working_set_mb,private_mb,cpu_percent,smoothness_score,visible_window_s,filter_mode,reference_mode,notes
,,,,start,,235.008,1156.797,77.773,,,,,MainWindow initialized
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.139109,321.008,1200.027,100.053,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.0181; downsample_s=0.0051; plot_s=0.1129
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.141369,321.008,1200.027,98.788,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.0188; downsample_s=0.0054; plot_s=0.1138
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.142494,321.008,1200.027,98.171,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.0190; downsample_s=0.0052; plot_s=0.1163
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.134463,321.008,1200.027,92.306,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.0193; downsample_s=0.0057; plot_s=0.1067
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.141926,321.012,1200.027,107.079,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.0195; downsample_s=0.0053; plot_s=0.1148
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.142743,321.016,1200.027,97.440,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.0191; downsample_s=0.0046; plot_s=0.1159
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.137807,321.016,1200.027,101.445,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.0184; downsample_s=0.0047; plot_s=0.1123
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.150109,320.082,1199.223,19.310,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.0196; downsample_s=0.0052; plot_s=0.1235
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.150738,321.961,1201.898,103.084,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.0161; downsample_s=0.0045; plot_s=0.1283
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.136869,322.004,1201.898,101.577,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.0156; downsample_s=0.0044; plot_s=0.1153
