file_path,duration_h,n_channels,sfreq,step,elapsed_s,working_set_mb,private_mb,cpu_percent,smoothness_score,visible_window_s,filter_mode,reference_mode,notes
,,,,start,,237.879,1156.066,62.813,,,,,MainWindow initialized
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_short_window,0.165516,341.211,1202.668,14.361,,3.000000,off,monopolar,visible_channels=32; plotted_points=1500; read_window_s=0.0052; downsample_s=0.0000; plot_s=0.1596
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_short_window,0.119123,341.898,1203.270,90.896,,3.000000,off,monopolar,visible_channels=32; plotted_points=1500; read_window_s=0.0025; downsample_s=0.0000; plot_s=0.1164
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_short_window,0.123571,344.570,1205.633,90.431,,10.000000,off,monopolar,visible_channels=32; plotted_points=2500; read_window_s=0.0038; downsample_s=0.0067; plot_s=0.1120
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_scroll_jump,0.128230,342.641,1204.617,96.150,,10.000000,off,monopolar,visible_channels=32; plotted_points=2500; read_window_s=0.0030; downsample_s=0.0044; plot_s=0.1199
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_open,0.725074,342.656,1205.219,36.087,,10.000000,macro=Off | Off | NOff; micro=Off | Off | NOff,monopolar,
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_short_window,0.114868,344.660,1206.227,80.788,,10.000000,off,monopolar,visible_channels=32; plotted_points=2500; read_window_s=0.0036; downsample_s=0.0059; plot_s=0.1044
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_short_window,0.127063,344.980,1206.227,97.739,,10.000000,off,monopolar,visible_channels=32; plotted_points=2500; read_window_s=0.0035; downsample_s=0.0040; plot_s=0.1187
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_short_window,0.130751,344.992,1206.227,94.381,,10.000000,off,monopolar,visible_channels=32; plotted_points=2500; read_window_s=0.0038; downsample_s=0.0044; plot_s=0.1217
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_short_window,0.110796,345.000,1206.227,79.351,,10.000000,off,monopolar,visible_channels=32; plotted_points=2500; read_window_s=0.0030; downsample_s=0.0044; plot_s=0.1026
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_short_window,0.109708,345.125,1206.227,98.992,,10.000000,off,monopolar,visible_channels=32; plotted_points=2500; read_window_s=0.0031; downsample_s=0.0038; plot_s=0.1020
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.158876,345.734,1206.945,106.007,,100.000000,off,monopolar,visible_channels=32; plotted_points=2942; read_window_s=0.0176; downsample_s=0.0325; plot_s=0.1024
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.170893,346.645,1207.738,98.828,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0184; downsample_s=0.0343; plot_s=0.1096
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.183769,346.406,1207.355,101.459,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0181; downsample_s=0.0334; plot_s=0.1247
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.161681,346.426,1207.355,95.398,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0144; downsample_s=0.0267; plot_s=0.1145
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.167291,346.438,1207.355,101.775,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0158; downsample_s=0.0285; plot_s=0.1175
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.176198,346.449,1207.355,97.031,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0165; downsample_s=0.0302; plot_s=0.1223
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.191325,346.457,1207.355,97.268,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0186; downsample_s=0.0308; plot_s=0.1351
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.165409,346.473,1207.355,84.551,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0161; downsample_s=0.0303; plot_s=0.1120
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.163838,345.445,1206.324,104.202,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0158; downsample_s=0.0297; plot_s=0.1123
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.160442,346.254,1207.113,95.864,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0158; downsample_s=0.0270; plot_s=0.1115
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.165877,346.266,1207.113,103.089,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0162; downsample_s=0.0320; plot_s=0.1118
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.180625,346.289,1207.113,96.115,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0167; downsample_s=0.0300; plot_s=0.1283
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.192326,346.301,1207.113,104.947,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0227; downsample_s=0.0387; plot_s=0.1251
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.164689,346.309,1207.113,93.722,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0145; downsample_s=0.0281; plot_s=0.1165
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.177162,346.324,1207.113,104.424,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0177; downsample_s=0.0305; plot_s=0.1225
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.169768,346.340,1207.113,99.954,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0149; downsample_s=0.0304; plot_s=0.1178
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_gamma_spike_detector,2.566712,328.629,1248.871,44.774,,299.998000,,,channels=26; start_s=0.000; stop_s=299.998; spikes=99; gamma=99
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_gamma_spike_detector,3.566759,307.398,1250.691,10.495,,299.998000,,,channels=35; start_s=0.000; stop_s=299.998; spikes=167; gamma=167
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.375364,75.867,1246.551,0.192,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0685; downsample_s=0.0564; plot_s=0.2211
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.207189,79.207,1249.895,96.598,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0198; downsample_s=0.0367; plot_s=0.1434
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.178448,79.953,1250.562,104.359,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0185; downsample_s=0.0396; plot_s=0.1136
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.165041,80.012,1250.562,94.135,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0165; downsample_s=0.0293; plot_s=0.1130
