file_path,duration_h,n_channels,sfreq,step,elapsed_s,working_set_mb,private_mb,cpu_percent,smoothness_score,visible_window_s,filter_mode,reference_mode,notes
,,,,start,,229.961,1156.629,57.132,,,,,MainWindow initialized
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_render_short_window,0.104489,316.977,1199.547,85.589,,10.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.0065; downsample_s=0.0079; plot_s=0.0887
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_render_short_window,0.105306,315.930,1198.484,103.133,,10.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.0066; downsample_s=0.0072; plot_s=0.0901
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_render_short_window,0.107287,316.652,1199.199,101.229,,10.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.0061; downsample_s=0.0085; plot_s=0.0911
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_render_short_window,0.107334,316.652,1199.199,101.219,,10.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.0064; downsample_s=0.0072; plot_s=0.0922
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_render_short_window,0.105569,317.367,1199.914,88.156,,10.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.0056; downsample_s=0.0076; plot_s=0.0903
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_render_short_window,0.107544,316.719,1199.262,98.679,,10.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.0062; downsample_s=0.0074; plot_s=0.0926
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_render_short_window,0.108586,316.723,1199.262,113.851,,10.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.0063; downsample_s=0.0069; plot_s=0.0938
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_render_short_window,0.100646,317.445,1199.977,91.917,,10.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.0059; downsample_s=0.0071; plot_s=0.0858
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_render_short_window,0.117012,291.621,1198.070,0.521,,10.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.0092; downsample_s=0.0083; plot_s=0.0973
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_render_short_window,0.105435,293.262,1199.168,88.267,,10.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.0061; downsample_s=0.0072; plot_s=0.0907
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_render_short_window,0.108403,293.371,1199.168,83.676,,10.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.0060; downsample_s=0.0064; plot_s=0.0945
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_render_short_window,0.109712,293.395,1199.168,98.928,,10.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.0078; downsample_s=0.0069; plot_s=0.0935
