file_path,duration_h,n_channels,sfreq,step,elapsed_s,working_set_mb,private_mb,cpu_percent,smoothness_score,visible_window_s,filter_mode,reference_mode,notes
,,,,start,,239.254,1157.355,19.985,,,,,MainWindow initialized
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.206138,137.480,1198.758,90.471,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0216; downsample_s=0.0376; plot_s=0.1375
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.199850,137.484,1198.758,100.956,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0255; downsample_s=0.0400; plot_s=0.1248
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.219025,137.668,1198.758,96.401,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0225; downsample_s=0.0394; plot_s=0.1480
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.200720,137.684,1198.758,92.716,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0240; downsample_s=0.0369; plot_s=0.1297
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.207769,137.691,1198.758,89.697,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0201; downsample_s=0.0423; plot_s=0.1360
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.207001,137.766,1198.758,94.807,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0260; downsample_s=0.0381; plot_s=0.1339
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.209937,137.789,1198.758,88.631,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0228; downsample_s=0.0390; plot_s=0.1392
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.211782,137.926,1198.758,100.970,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0223; downsample_s=0.0405; plot_s=0.1400
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.328102,137.953,1198.758,94.114,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0243; downsample_s=0.0594; plot_s=0.2302
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.257058,138.023,1198.758,83.597,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0253; downsample_s=0.0469; plot_s=0.1746
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.220235,138.027,1198.758,84.771,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0240; downsample_s=0.0379; plot_s=0.1490
