file_path,duration_h,n_channels,sfreq,step,elapsed_s,working_set_mb,private_mb,cpu_percent,smoothness_score,visible_window_s,filter_mode,reference_mode,notes
,,,,start,,236.117,1158.973,97.395,,,,,MainWindow initialized
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_short_window,0.105116,317.121,1193.402,9.633,,3.000000,off,monopolar,visible_channels=32; plotted_points=1500; read_window_s=0.0028; downsample_s=0.0000; plot_s=0.1019
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_short_window,0.097037,317.930,1194.004,111.734,,3.000000,off,monopolar,visible_channels=32; plotted_points=1500; read_window_s=0.0030; downsample_s=0.0000; plot_s=0.0937
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_short_window,0.104967,317.629,1193.883,103.619,,10.000000,off,monopolar,visible_channels=32; plotted_points=2500; read_window_s=0.0040; downsample_s=0.0061; plot_s=0.0939
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_scroll_jump,0.092658,319.898,1196.230,99.578,,10.000000,off,monopolar,visible_channels=32; plotted_points=2500; read_window_s=0.0031; downsample_s=0.0047; plot_s=0.0840
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_open,0.529091,319.906,1196.230,213.316,,10.000000,macro=Off | Off | NOff; micro=Off | Off | NOff,monopolar,
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_short_window,0.111027,320.555,1196.844,97.618,,10.000000,off,monopolar,visible_channels=32; plotted_points=2500; read_window_s=0.0037; downsample_s=0.0039; plot_s=0.1026
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_short_window,0.106967,320.805,1196.844,87.033,,10.000000,off,monopolar,visible_channels=32; plotted_points=2500; read_window_s=0.0031; downsample_s=0.0038; plot_s=0.0992
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_short_window,0.098926,320.812,1196.844,93.321,,10.000000,off,monopolar,visible_channels=32; plotted_points=2500; read_window_s=0.0032; downsample_s=0.0037; plot_s=0.0912
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_short_window,0.099350,320.840,1196.844,90.815,,10.000000,off,monopolar,visible_channels=32; plotted_points=2500; read_window_s=0.0031; downsample_s=0.0034; plot_s=0.0921
