file_path,duration_h,n_channels,sfreq,step,elapsed_s,working_set_mb,private_mb,cpu_percent,smoothness_score,visible_window_s,filter_mode,reference_mode,notes
,,,,start,,234.715,1156.621,52.670,,,,,MainWindow initialized
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_short_window,0.093493,258.637,1194.676,5.307,,3.000000,off,monopolar,visible_channels=32; plotted_points=1500; read_window_s=0.0032; downsample_s=0.0000; plot_s=0.0896
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_short_window,0.081939,259.367,1195.539,94.389,,3.000000,off,monopolar,visible_channels=32; plotted_points=1500; read_window_s=0.0023; downsample_s=0.0000; plot_s=0.0794
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_short_window,0.089733,259.832,1196.953,81.086,,10.000000,off,monopolar,visible_channels=32; plotted_points=2500; read_window_s=0.0036; downsample_s=0.0045; plot_s=0.0808
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_scroll_jump,0.085670,261.340,1196.930,107.705,,10.000000,off,monopolar,visible_channels=32; plotted_points=2500; read_window_s=0.0027; downsample_s=0.0032; plot_s=0.0791
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_open,0.507945,261.375,1196.930,0.000,,10.000000,macro=Off | Off | NOff; micro=Off | Off | NOff,monopolar,
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_short_window,0.088146,261.449,1196.934,105.285,,10.000000,off,monopolar,visible_channels=32; plotted_points=2500; read_window_s=0.0029; downsample_s=0.0035; plot_s=0.0811
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_short_window,0.092825,261.520,1196.934,100.289,,10.000000,off,monopolar,visible_channels=32; plotted_points=2500; read_window_s=0.0029; downsample_s=0.0035; plot_s=0.0857
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_short_window,0.089864,261.523,1196.934,102.692,,10.000000,off,monopolar,visible_channels=32; plotted_points=2500; read_window_s=0.0031; downsample_s=0.0033; plot_s=0.0827
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_short_window,0.091807,262.156,1197.547,100.576,,10.000000,off,monopolar,visible_channels=32; plotted_points=2500; read_window_s=0.0028; downsample_s=0.0033; plot_s=0.0849
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_short_window,0.093198,262.160,1197.547,99.817,,10.000000,off,monopolar,visible_channels=32; plotted_points=2500; read_window_s=0.0027; downsample_s=0.0035; plot_s=0.0863
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.131501,262.832,1198.266,92.919,,100.000000,off,monopolar,visible_channels=32; plotted_points=2942; read_window_s=0.0152; downsample_s=0.0264; plot_s=0.0839
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.151803,262.523,1197.859,101.137,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0160; downsample_s=0.0322; plot_s=0.0962
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.150803,263.320,1198.648,92.762,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0174; downsample_s=0.0307; plot_s=0.0958
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.146381,263.320,1198.648,94.445,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0159; downsample_s=0.0309; plot_s=0.0926
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.147829,263.324,1198.648,104.615,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0175; downsample_s=0.0289; plot_s=0.0946
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.152766,263.332,1198.648,101.669,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0170; downsample_s=0.0316; plot_s=0.0967
