file_path,duration_h,n_channels,sfreq,step,elapsed_s,working_set_mb,private_mb,cpu_percent,smoothness_score,visible_window_s,filter_mode,reference_mode,notes
,,,,start,,235.539,1157.391,66.689,,,,,MainWindow initialized
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.099174,331.082,1206.977,12.842,,3.000000,off,monopolar,visible_channels=32; plotted_points=1536; read_window_s=0.0185; downsample_s=0.0000; plot_s=0.0801
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.091313,331.855,1207.773,101.808,,3.000000,off,monopolar,visible_channels=32; plotted_points=1536; read_window_s=0.0139; downsample_s=0.0000; plot_s=0.0772
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.108243,319.055,1195.211,103.393,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.0218; downsample_s=0.0047; plot_s=0.0797
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_scroll_jump,0.098519,321.082,1197.348,88.770,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.0144; downsample_s=0.0042; plot_s=0.0779
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_open,1.152668,321.086,1197.348,0.000,,10.000000,macro=Off | Off | NOff; micro=Off | Off | NOff,monopolar,
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.111029,321.281,1197.348,97.043,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.0159; downsample_s=0.0061; plot_s=0.0867
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.106210,321.281,1197.348,102.309,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.0151; downsample_s=0.0039; plot_s=0.0851
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.101350,320.156,1196.207,100.725,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.0136; downsample_s=0.0038; plot_s=0.0819
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.097676,320.516,1196.207,92.075,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.0129; downsample_s=0.0038; plot_s=0.0788
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.102534,321.031,1196.836,90.746,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.0126; downsample_s=0.0039; plot_s=0.0839
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.103378,321.152,1196.836,89.708,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.0164; downsample_s=0.0037; plot_s=0.0814
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.099595,321.160,1196.836,109.030,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.0159; downsample_s=0.0037; plot_s=0.0780
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_1h_100ch_raw.fif,1.000000,100,512,after_render_short_window,0.110693,321.160,1196.836,78.648,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.0188; downsample_s=0.0039; plot_s=0.0858
