file_path,duration_h,n_channels,sfreq,step,elapsed_s,working_set_mb,private_mb,cpu_percent,smoothness_score,visible_window_s,filter_mode,reference_mode,notes
,,,,start,,230.938,1156.133,35.481,,,,,MainWindow initialized
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_short_window,0.149054,315.473,1194.090,8.576,,3.000000,off,monopolar,visible_channels=32; plotted_points=1500; read_window_s=0.0034; downsample_s=0.0000; plot_s=0.1449
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_short_window,0.145995,316.176,1194.688,106.262,,3.000000,off,monopolar,visible_channels=32; plotted_points=1500; read_window_s=0.0031; downsample_s=0.0000; plot_s=0.1426
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_short_window,0.155484,316.871,1195.203,103.240,,10.000000,off,monopolar,visible_channels=32; plotted_points=2500; read_window_s=0.0054; downsample_s=0.0077; plot_s=0.1409
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_scroll_jump,0.153234,317.852,1197.121,100.842,,10.000000,off,monopolar,visible_channels=32; plotted_points=2500; read_window_s=0.0043; downsample_s=0.0051; plot_s=0.1427
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_open,0.825355,317.859,1197.121,0.000,,10.000000,macro=Off | Off | NOff; micro=Off | Off | NOff,monopolar,
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_short_window,0.169804,318.488,1197.121,100.421,,10.000000,off,monopolar,visible_channels=32; plotted_points=2500; read_window_s=0.0045; downsample_s=0.0057; plot_s=0.1577
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_short_window,0.165289,318.504,1197.121,103.319,,10.000000,off,monopolar,visible_channels=32; plotted_points=2500; read_window_s=0.0043; downsample_s=0.0049; plot_s=0.1550
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_short_window,0.151937,318.508,1197.121,101.557,,10.000000,off,monopolar,visible_channels=32; plotted_points=2500; read_window_s=0.0040; downsample_s=0.0051; plot_s=0.1418
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_short_window,0.162020,318.520,1197.121,86.785,,10.000000,off,monopolar,visible_channels=32; plotted_points=2500; read_window_s=0.0065; downsample_s=0.0061; plot_s=0.1479
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_short_window,0.161717,318.523,1197.121,105.609,,10.000000,off,monopolar,visible_channels=32; plotted_points=2500; read_window_s=0.0042; downsample_s=0.0051; plot_s=0.1513
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.211738,319.262,1197.840,94.030,,100.000000,off,monopolar,visible_channels=32; plotted_points=2942; read_window_s=0.0213; downsample_s=0.0350; plot_s=0.1473
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.306978,318.965,1197.234,100.178,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0285; downsample_s=0.0398; plot_s=0.2295
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.226636,320.156,1198.418,102.900,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0252; downsample_s=0.0383; plot_s=0.1539
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.253218,318.980,1197.234,97.668,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0241; downsample_s=0.0485; plot_s=0.1692
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.237755,319.844,1198.023,104.232,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0203; downsample_s=0.0345; plot_s=0.1755
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.235772,319.848,1198.023,98.906,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0213; downsample_s=0.0337; plot_s=0.1743
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.241164,319.871,1198.023,90.040,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0183; downsample_s=0.0380; plot_s=0.1775
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.229082,319.879,1198.023,101.760,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0196; downsample_s=0.0370; plot_s=0.1654
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.215287,319.895,1198.023,93.732,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0205; downsample_s=0.0382; plot_s=0.1498
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.224211,319.910,1198.023,103.473,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0245; downsample_s=0.0373; plot_s=0.1538
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.226919,319.918,1198.023,95.881,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0185; downsample_s=0.0360; plot_s=0.1642
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.234402,319.938,1198.023,96.094,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0254; downsample_s=0.0405; plot_s=0.1595
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.269256,319.953,1198.023,98.058,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0237; downsample_s=0.0524; plot_s=0.1841
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.255569,319.957,1198.023,102.821,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0202; downsample_s=0.0393; plot_s=0.1873
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.253599,319.965,1198.023,98.037,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0225; downsample_s=0.0438; plot_s=0.1768
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.227506,319.977,1198.023,101.682,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0180; downsample_s=0.0334; plot_s=0.1696
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.236163,319.996,1198.023,91.170,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0186; downsample_s=0.0355; plot_s=0.1740
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.241191,320.004,1198.023,97.521,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0193; downsample_s=0.0383; plot_s=0.1761
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.280179,318.969,1197.289,33.879,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0410; downsample_s=0.0441; plot_s=0.1831
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.293701,321.031,1198.887,95.115,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0210; downsample_s=0.0330; plot_s=0.2333
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.305949,321.629,1198.887,90.920,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0357; downsample_s=0.0583; plot_s=0.1984
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.374178,323.668,1231.449,49.173,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0215; downsample_s=0.0508; plot_s=0.2932
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_gamma_spike_detector,3.969247,323.676,1231.449,0.000,,299.998000,,,channels=26; start_s=0.000; stop_s=299.998; spikes=99; gamma=99
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_scroll_jump,1.504660,96.809,1254.285,4.682,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.9536; downsample_s=0.0622; plot_s=0.4737
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.520353,97.828,1254.934,92.705,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0342; downsample_s=0.0584; plot_s=0.4106
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_scroll_jump,1.411236,94.305,1257.383,15.773,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.9719; downsample_s=0.0536; plot_s=0.3732
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_scroll_jump,0.396794,97.574,1265.266,107.559,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0206; downsample_s=0.0335; plot_s=0.3352
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_scroll_jump,0.389850,99.227,1267.332,92.840,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0213; downsample_s=0.0387; plot_s=0.3226
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_scroll_jump,0.358117,98.664,1259.930,99.374,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0287; downsample_s=0.0423; plot_s=0.2797
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,1.330965,76.930,1265.965,0.007,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.9899; downsample_s=0.0429; plot_s=0.2748
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.320332,79.469,1268.586,80.669,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0297; downsample_s=0.0512; plot_s=0.2274
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.205336,79.605,1268.352,98.207,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0188; downsample_s=0.0317; plot_s=0.1467
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.203754,79.652,1268.352,83.573,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0176; downsample_s=0.0347; plot_s=0.1445
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.198822,79.668,1268.352,93.902,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0274; downsample_s=0.0373; plot_s=0.1247
