file_path,duration_h,n_channels,sfreq,step,elapsed_s,working_set_mb,private_mb,cpu_percent,smoothness_score,visible_window_s,filter_mode,reference_mode,notes
,,,,start,,238.047,1156.453,70.148,,,,,MainWindow initialized
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_render_short_window,0.122804,119.344,1193.516,0.284,,3.000000,off,monopolar,visible_channels=32; plotted_points=2048; read_window_s=0.0078; downsample_s=0.0056; plot_s=0.1072
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_render_short_window,0.082933,120.055,1194.293,108.209,,3.000000,off,monopolar,visible_channels=32; plotted_points=2048; read_window_s=0.0039; downsample_s=0.0026; plot_s=0.0760
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_render_short_window,0.110888,122.820,1196.824,82.701,,10.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.0072; downsample_s=0.0072; plot_s=0.0949
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_scroll_jump,0.094312,124.727,1198.520,113.716,,10.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.0055; downsample_s=0.0063; plot_s=0.0812
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_open,1.014706,125.672,1198.520,99.242,,10.000000,macro=Off | Off | NOff; micro=Off | Off | NOff,monopolar,
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_render_short_window,0.099246,126.254,1198.520,93.029,,10.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.0062; downsample_s=0.0090; plot_s=0.0824
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_render_short_window,0.105822,125.477,1197.473,87.965,,10.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.0055; downsample_s=0.0070; plot_s=0.0918
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_render_short_window,0.100879,126.363,1198.188,91.080,,10.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.0055; downsample_s=0.0062; plot_s=0.0879
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_render_short_window,0.092887,126.496,1198.188,103.572,,10.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.0057; downsample_s=0.0062; plot_s=0.0797
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_render_short_window,0.100578,126.527,1198.188,107.678,,10.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.0060; downsample_s=0.0066; plot_s=0.0865
D:\omni dataset complement\updated_dataset\bids\sub-hupHUP130\ses-01\ieeg\sub-hupHUP130_ses-01_task-interictal_run-02_ieeg.edf,0.083333,109,1024,after_render_short_window,0.096366,127.266,1198.902,94.567,,10.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.0060; downsample_s=0.0073; plot_s=0.0816
