file_path,duration_h,n_channels,sfreq,step,elapsed_s,working_set_mb,private_mb,cpu_percent,smoothness_score,visible_window_s,filter_mode,reference_mode,notes
,,,,start,,228.633,1155.219,42.979,,,,,MainWindow initialized
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_24h_100ch_raw.fif,24.000000,100,512,after_render_short_window,0.597754,666.898,1558.996,15.270,,3.000000,off,monopolar,visible_channels=32; plotted_points=1536; read_window_s=0.4446; downsample_s=0.0001; plot_s=0.1521
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_24h_100ch_raw.fif,24.000000,100,512,after_render_short_window,0.478244,667.789,1559.855,97.791,,3.000000,off,monopolar,visible_channels=32; plotted_points=1536; read_window_s=0.3436; downsample_s=0.0000; plot_s=0.1342
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_24h_100ch_raw.fif,24.000000,100,512,after_render_short_window,1.235927,329.207,1224.812,91.923,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.3787; downsample_s=0.6998; plot_s=0.1293
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_24h_100ch_raw.fif,24.000000,100,512,after_scroll_jump,1.122098,329.328,1224.812,98.097,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.3385; downsample_s=0.6536; plot_s=0.1009
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_24h_100ch_raw.fif,24.000000,100,512,after_open,25.123634,329.332,1224.812,88.547,,10.000000,macro=Off | Off | NOff; micro=Off | Off | NOff,monopolar,
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_24h_100ch_raw.fif,24.000000,100,512,after_render_short_window,1.111805,329.348,1224.812,101.095,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.3377; downsample_s=0.6347; plot_s=0.1108
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_24h_100ch_raw.fif,24.000000,100,512,after_render_short_window,1.115824,329.336,1224.773,99.351,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.3370; downsample_s=0.6462; plot_s=0.1048
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_24h_100ch_raw.fif,24.000000,100,512,after_render_short_window,1.178964,329.355,1224.773,96.801,,10.000000,off,monopolar,visible_channels=32; plotted_points=2560; read_window_s=0.3362; downsample_s=0.6969; plot_s=0.1173
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_24h_100ch_raw.fif,24.000000,100,512,after_render_long_window,1.282038,330.074,1225.488,96.598,,100.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.3771; downsample_s=0.7638; plot_s=0.1091
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_24h_100ch_raw.fif,24.000000,100,512,after_render_long_window,1.377537,330.098,1225.488,93.958,,100.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.3513; downsample_s=0.8675; plot_s=0.1263
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_24h_100ch_raw.fif,24.000000,100,512,after_render_long_window,1.284736,330.102,1225.488,97.587,,100.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.3766; downsample_s=0.7631; plot_s=0.1124
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_24h_100ch_raw.fif,24.000000,100,512,after_render_long_window,1.250818,330.105,1225.488,94.444,,100.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.3397; downsample_s=0.7476; plot_s=0.1317
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_24h_100ch_raw.fif,24.000000,100,512,after_render_long_window,1.237221,330.098,1225.488,98.411,,100.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.3467; downsample_s=0.7542; plot_s=0.1034
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_24h_100ch_raw.fif,24.000000,100,512,after_render_long_window,1.235116,330.109,1225.488,99.664,,100.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.3379; downsample_s=0.7466; plot_s=0.1162
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_24h_100ch_raw.fif,24.000000,100,512,after_render_long_window,1.207820,330.125,1225.488,100.508,,100.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.3243; downsample_s=0.7442; plot_s=0.1099
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_24h_100ch_raw.fif,24.000000,100,512,after_render_long_window,1.228735,330.117,1225.488,99.761,,100.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.3388; downsample_s=0.7485; plot_s=0.1103
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_24h_100ch_raw.fif,24.000000,100,512,after_scroll_jump,1.212546,328.527,1224.535,98.720,,100.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.3210; downsample_s=0.7481; plot_s=0.1137
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_24h_100ch_raw.fif,24.000000,100,512,after_scroll_jump,1.264545,326.793,1227.750,93.829,,100.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.3612; downsample_s=0.7505; plot_s=0.1183
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_24h_100ch_raw.fif,24.000000,100,512,after_scroll_jump,1.245589,327.273,1228.102,98.997,,100.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.3591; downsample_s=0.7390; plot_s=0.1146
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_24h_100ch_raw.fif,24.000000,100,512,after_scroll_jump,1.230932,326.867,1228.086,81.099,,100.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.3306; downsample_s=0.7585; plot_s=0.1099
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_24h_100ch_raw.fif,24.000000,100,512,after_scroll_jump,1.233871,326.926,1228.148,100.201,,100.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.3415; downsample_s=0.7353; plot_s=0.1193
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_24h_100ch_raw.fif,24.000000,100,512,after_scroll_jump,1.205982,325.738,1226.902,99.027,,100.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.3183; downsample_s=0.7380; plot_s=0.1143
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_24h_100ch_raw.fif,24.000000,100,512,after_scroll_jump,1.223398,326.574,1227.891,84.315,,100.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.3541; downsample_s=0.7242; plot_s=0.1075
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_24h_100ch_raw.fif,24.000000,100,512,after_scroll_jump,1.225633,326.551,1228.152,98.213,,100.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.3375; downsample_s=0.7376; plot_s=0.1143
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_24h_100ch_raw.fif,24.000000,100,512,after_scroll_jump,1.208999,326.922,1228.258,100.146,,100.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.3346; downsample_s=0.7317; plot_s=0.1127
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_24h_100ch_raw.fif,24.000000,100,512,after_scroll_jump,1.223016,327.012,1228.270,104.655,,100.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.3473; downsample_s=0.7371; plot_s=0.1054
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_24h_100ch_raw.fif,24.000000,100,512,after_scroll_jump,1.237192,326.941,1228.258,98.157,,100.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.3365; downsample_s=0.7450; plot_s=0.1234
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_24h_100ch_raw.fif,24.000000,100,512,after_scroll_jump,1.252987,327.027,1228.270,94.414,,100.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.3414; downsample_s=0.7481; plot_s=0.1322
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_24h_100ch_raw.fif,24.000000,100,512,after_scroll_jump,1.213480,326.719,1227.691,98.493,,100.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.3270; downsample_s=0.7429; plot_s=0.1129
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_24h_100ch_raw.fif,24.000000,100,512,after_scroll_jump,1.233174,326.820,1227.703,95.577,,100.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.3199; downsample_s=0.7766; plot_s=0.1059
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_24h_100ch_raw.fif,24.000000,100,512,after_scroll_jump,1.278181,326.676,1227.699,59.848,,100.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.3791; downsample_s=0.7424; plot_s=0.1214
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_24h_100ch_raw.fif,24.000000,100,512,after_scroll_jump,1.319067,322.750,1223.418,52.094,,100.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.4121; downsample_s=0.7477; plot_s=0.1228
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_24h_100ch_raw.fif,24.000000,100,512,after_scroll_jump,1.273149,327.562,1228.543,68.866,,100.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.3382; downsample_s=0.7781; plot_s=0.1178
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_24h_100ch_raw.fif,24.000000,100,512,after_scroll_jump,1.718100,328.625,1229.258,94.416,,100.000000,off,monopolar,visible_channels=32; plotted_points=2926; read_window_s=0.4009; downsample_s=1.1623; plot_s=0.1176
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_24h_100ch_raw.fif,24.000000,100,512,after_render_long_window,1.906042,63.203,1227.074,25.897,,100.000000,off,average,visible_channels=32; plotted_points=2926; read_window_s=0.7563; reference_s=0.0531; downsample_s=0.8922; plot_s=0.1421
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_24h_100ch_raw.fif,24.000000,100,512,after_reference_change,2.088067,63.988,1227.074,104.738,,100.000000,,average,average
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_24h_100ch_raw.fif,24.000000,100,512,after_scroll_jump,1.680575,70.109,1223.402,28.756,,100.000000,off,average,visible_channels=32; plotted_points=2926; read_window_s=0.6638; reference_s=0.0519; downsample_s=0.7591; plot_s=0.1374
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_24h_100ch_raw.fif,24.000000,100,512,after_scroll_jump,1.800246,71.293,1223.898,97.360,,100.000000,off,average,visible_channels=32; plotted_points=2926; read_window_s=0.7799; reference_s=0.0623; downsample_s=0.7398; plot_s=0.1517
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_24h_100ch_raw.fif,24.000000,100,512,after_scroll_jump,1.745622,76.094,1228.891,70.998,,100.000000,off,average,visible_channels=32; plotted_points=2926; read_window_s=0.7339; reference_s=0.0514; downsample_s=0.7225; plot_s=0.1657
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_24h_100ch_raw.fif,24.000000,100,512,after_scroll_jump,1.846009,76.879,1228.297,47.631,,100.000000,off,average,visible_channels=32; plotted_points=2926; read_window_s=0.7742; reference_s=0.0587; downsample_s=0.8371; plot_s=0.1120
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_24h_100ch_raw.fif,24.000000,100,512,after_scroll_jump,1.869257,77.023,1229.375,69.216,,100.000000,off,average,visible_channels=32; plotted_points=2926; read_window_s=0.7552; reference_s=0.0546; downsample_s=0.7679; plot_s=0.2253
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_24h_100ch_raw.fif,24.000000,100,512,after_scroll_jump,1.777223,77.766,1229.012,98.141,,100.000000,off,average,visible_channels=32; plotted_points=2926; read_window_s=0.7666; reference_s=0.0603; downsample_s=0.7667; plot_s=0.1084
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_24h_100ch_raw.fif,24.000000,100,512,after_render_long_window,2.062130,74.906,1226.242,28.740,,100.000000,off,median,visible_channels=32; plotted_points=2926; read_window_s=0.6973; reference_s=0.3543; downsample_s=0.8145; plot_s=0.1276
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_24h_100ch_raw.fif,24.000000,100,512,after_reference_change,2.110439,74.207,1225.523,0.000,,100.000000,,median,median
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_24h_100ch_raw.fif,24.000000,100,512,after_scroll_jump,1.925949,75.020,1226.000,102.116,,100.000000,off,median,visible_channels=32; plotted_points=2926; read_window_s=0.7181; reference_s=0.2762; downsample_s=0.7456; plot_s=0.1176
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_24h_100ch_raw.fif,24.000000,100,512,after_scroll_jump,2.237252,75.750,1226.969,96.376,,100.000000,off,median,visible_channels=32; plotted_points=2926; read_window_s=0.6967; reference_s=0.2762; downsample_s=0.8010; plot_s=0.3855
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_24h_100ch_raw.fif,24.000000,100,512,after_scroll_jump,2.432518,74.309,1226.969,95.576,,100.000000,off,median,visible_channels=32; plotted_points=2926; read_window_s=0.7684; reference_s=0.3197; downsample_s=1.1501; plot_s=0.1214
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_24h_100ch_raw.fif,24.000000,100,512,after_render_long_window,3.462159,132.230,1311.410,16.842,,100.000000,active,median,visible_channels=32; plotted_points=2926; read_window_s=0.7949; filter_s=0.9320; reference_s=0.3471; downsample_s=0.7842; plot_s=0.1182
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_24h_100ch_raw.fif,24.000000,100,512,after_render_long_window,3.093314,135.090,1314.098,96.512,,100.000000,active,median,visible_channels=32; plotted_points=2926; read_window_s=0.6746; filter_s=0.7923; reference_s=0.2902; downsample_s=0.7493; plot_s=0.1603
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_24h_100ch_raw.fif,24.000000,100,512,after_filter_render,7.204232,135.125,1314.098,99.398,,100.000000,macro=HP 70 | LP 100 | N60; micro=HP 70 | LP 100 | N60,median,
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_24h_100ch_raw.fif,24.000000,100,512,after_scroll_jump,4.105008,186.680,1370.441,80.076,,100.000000,active,median,visible_channels=32; plotted_points=2926; read_window_s=1.6441; filter_s=0.8098; reference_s=0.3088; downsample_s=0.7916; plot_s=0.1144
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_24h_100ch_raw.fif,24.000000,100,512,after_scroll_jump,3.151459,201.438,1385.613,95.204,,100.000000,active,median,visible_channels=32; plotted_points=2926; read_window_s=0.6642; filter_s=0.8092; reference_s=0.3239; downsample_s=0.7802; plot_s=0.1089
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_24h_100ch_raw.fif,24.000000,100,512,after_scroll_jump,3.141079,200.125,1382.738,93.584,,100.000000,active,median,visible_channels=32; plotted_points=2926; read_window_s=0.6696; filter_s=0.8108; reference_s=0.2908; downsample_s=0.7522; plot_s=0.1640
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_24h_100ch_raw.fif,24.000000,100,512,after_scroll_jump,3.299011,201.902,1384.875,95.323,,100.000000,active,median,visible_channels=32; plotted_points=2926; read_window_s=0.7601; filter_s=0.8348; reference_s=0.2885; downsample_s=0.7399; plot_s=0.1421
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_24h_100ch_raw.fif,24.000000,100,512,after_scroll_jump,3.200548,200.586,1378.035,49.846,,100.000000,active,median,visible_channels=32; plotted_points=2926; read_window_s=0.7411; filter_s=0.7786; reference_s=0.3058; downsample_s=0.7614; plot_s=0.1339
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_24h_100ch_raw.fif,24.000000,100,512,after_scroll_jump,3.287233,198.590,1383.547,100.227,,100.000000,active,median,visible_channels=32; plotted_points=2926; read_window_s=0.7583; filter_s=0.7750; reference_s=0.3575; downsample_s=0.7967; plot_s=0.1379
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_24h_100ch_raw.fif,24.000000,100,512,after_scroll_jump,3.547957,92.457,1385.707,96.854,,100.000000,active,median,visible_channels=32; plotted_points=2926; read_window_s=0.8099; filter_s=0.8199; reference_s=0.3578; downsample_s=0.8082; plot_s=0.2285
D:\I_EEG_transition_tests\sub-hupHUP082_ses-01_task-ictal_run-02_ieeg_transition_24h_100ch_raw.fif,24.000000,100,512,after_scroll_jump,4.826261,174.195,1378.426,11.074,,100.000000,active,median,visible_channels=32; plotted_points=2926; read_window_s=1.9776; filter_s=0.9635; reference_s=0.3696; downsample_s=0.8495; plot_s=0.1330
