file_path,duration_h,n_channels,sfreq,step,elapsed_s,working_set_mb,private_mb,cpu_percent,smoothness_score,visible_window_s,filter_mode,reference_mode,notes
,,,,start,,207.355,1156.309,18.114,,,,,MainWindow initialized
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_short_window,0.151188,150.078,1195.000,8.892,,3.000000,off,monopolar,visible_channels=32; plotted_points=1500; read_window_s=0.0076; downsample_s=0.0005; plot_s=0.1420
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_short_window,0.117053,151.008,1195.598,91.383,,3.000000,off,monopolar,visible_channels=32; plotted_points=1500; read_window_s=0.0026; downsample_s=0.0000; plot_s=0.1141
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_short_window,0.174925,152.203,1196.707,78.794,,10.000000,off,monopolar,visible_channels=32; plotted_points=2500; read_window_s=0.0047; downsample_s=0.0087; plot_s=0.1601
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_scroll_jump,0.148596,153.086,1197.934,93.321,,10.000000,off,monopolar,visible_channels=32; plotted_points=2500; read_window_s=0.0038; downsample_s=0.0058; plot_s=0.1380
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_open,0.922934,153.766,1197.934,99.374,,10.000000,macro=Off | Off | NOff; micro=Off | Off | NOff,monopolar,
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_short_window,0.149781,154.699,1197.934,102.934,,10.000000,off,monopolar,visible_channels=32; plotted_points=2500; read_window_s=0.0049; downsample_s=0.0062; plot_s=0.1376
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_short_window,0.200596,154.820,1197.934,85.311,,10.000000,off,monopolar,visible_channels=32; plotted_points=2500; read_window_s=0.0052; downsample_s=0.0045; plot_s=0.1899
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_short_window,0.138574,154.918,1197.934,100.040,,10.000000,off,monopolar,visible_channels=32; plotted_points=2500; read_window_s=0.0054; downsample_s=0.0055; plot_s=0.1266
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_short_window,0.151966,154.465,1197.422,100.688,,10.000000,off,monopolar,visible_channels=32; plotted_points=2500; read_window_s=0.0046; downsample_s=0.0058; plot_s=0.1398
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_short_window,0.188449,155.086,1198.035,90.123,,10.000000,off,monopolar,visible_channels=32; plotted_points=2500; read_window_s=0.0060; downsample_s=0.0079; plot_s=0.1724
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.195801,155.938,1198.754,100.477,,100.000000,off,monopolar,visible_channels=32; plotted_points=2942; read_window_s=0.0289; downsample_s=0.0420; plot_s=0.1134
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.265761,155.281,1198.062,86.704,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0291; downsample_s=0.0482; plot_s=0.1763
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.234009,156.074,1198.852,93.012,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0309; downsample_s=0.0457; plot_s=0.1453
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.261302,156.875,1199.641,100.480,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0240; downsample_s=0.0466; plot_s=0.1775
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.244869,151.672,1199.641,100.636,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0266; downsample_s=0.0506; plot_s=0.1565
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.236693,151.672,1199.641,91.921,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0277; downsample_s=0.0463; plot_s=0.1527
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.243246,151.695,1199.641,95.393,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0324; downsample_s=0.0503; plot_s=0.1482
D:\Interictal data sample\sub-hupHUP060\ses-01\ieeg\sub-hupHUP060_ses-01_task-interictal_run-01_ieeg.edf,0.083333,35,500,after_render_long_window,0.248056,151.703,1199.641,100.326,,100.000000,off,monopolar,visible_channels=35; plotted_points=2942; read_window_s=0.0235; downsample_s=0.0463; plot_s=0.1688
